stratum,rule,a,b,d,x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
column_blind,cb_11,1,1,111,111111111111111111111,489,530,224,306,3180,1344,1836,2268,432,108,-4,16,972,1080,-216,0,0
column_blind,cb_12,1,2,111,111111111222222222111,273,1304,404,900,7824,2424,5400,5400,0,0,0,16,864,1134,1458,0,1944
column_blind,cb_20,2,0,111,222222222000000000111,219,1484,314,1170,8904,1884,7020,7020,0,0,0,16,756,1512,2160,0,2592
column_blind,cb_21,2,1,111,222222222111111111111,273,1304,404,900,7824,2424,5400,5400,0,0,0,16,864,1134,1458,0,1944
column_blind,cb_22,2,2,111,222222222222222222111,381,1052,260,792,6312,1560,4752,4752,0,0,0,16,756,1836,2160,0,0
column_blind,cb_00,0,0,112,000000000000000000112,363,1053,324,729,6318,1944,4374,4398,24,6,-4,18,594,1728,2052,0,0
column_blind,cb_01,0,1,112,000000000111111111112,255,1323,450,873,7938,2700,5238,5238,0,0,0,18,702,1134,1458,0,1944
column_blind,cb_02,0,2,112,000000000222222222112,255,1368,378,990,8208,2268,5940,5940,0,0,0,18,702,1404,1566,0,2268
column_blind,cb_10,1,0,112,111111111000000000112,255,1323,450,873,7938,2700,5238,5238,0,0,0,18,702,1134,1458,0,1944
column_blind,cb_11,1,1,112,111111111111111111112,471,567,252,315,3402,1512,1890,2214,324,108,-4,18,810,1188,-108,0,0
column_blind,cb_12,1,2,112,111111111222222222112,309,1233,396,837,7398,2376,5022,5022,0,0,0,18,810,1296,972,0,1944
column_blind,cb_20,2,0,112,222222222000000000112,255,1368,378,990,8208,2268,5940,5940,0,0,0,18,702,1404,1566,0,2268
column_blind,cb_21,2,1,112,222222222111111111112,309,1233,396,837,7398,2376,5022,5022,0,0,0,18,810,1296,972,0,1944
column_blind,cb_22,2,2,112,222222222222222222112,471,603,216,387,3618,1296,2322,2430,108,54,-2,18,810,1404,108,0,0
column_blind,cb_00,0,0,120,000000000000000000120,351,1074,252,822,6444,1512,4932,4938,6,3,-2,18,828,1836,2268,0,0
column_blind,cb_01,0,1,120,000000000111111111120,189,1479,360,1119,8874,2160,6714,6714,0,0,0,18,828,1350,2268,0,2268
column_blind,cb_02,0,2,120,000000000222222222120,189,1479,360,1119,8874,2160,6714,6714,0,0,0,18,828,1350,2268,0,2268
column_blind,cb_10,1,0,120,111111111000000000120,189,1479,360,1119,8874,2160,6714,6714,0,0,0,18,828,1350,2268,0,2268
column_blind,cb_11,1,1,120,111111111111111111120,351,1074,252,822,6444,1512,4932,4938,6,3,-2,18,828,1836,2268,0,0
column_blind,cb_12,1,2,120,111111111222222222120,189,1479,360,1119,8874,2160,6714,6714,0,0,0,18,828,1350,2268,0,2268
column_blind,cb_20,2,0,120,222222222000000000120,189,1479,360,1119,8874,2160,6714,6714,0,0,0,18,828,1350,2268,0,2268
column_blind,cb_21,2,1,120,222222222111111111120,189,1479,360,1119,8874,2160,6714,6714,0,0,0,18,828,1350,2268,0,2268
column_blind,cb_22,2,2,120,222222222222222222120,351,1074,252,822,6444,1512,4932,4938,6,3,-2,18,828,1836,2268,0,0
column_blind,cb_00,0,0,121,000000000000000000121,357,1111,218,893,6666,1308,5358,5364,6,3,-2,18,930,2052,2376,0,0
column_blind,cb_01,0,1,121,000000000111111111121,195,1480,380,1100,8880,2280,6600,6600,0,0,0,18,876,1242,2214,0,2268
column_blind,cb_02,0,2,121,000000000222222222121,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
column_blind,cb_10,1,0,121,111111111000000000121,195,1480,380,1100,8880,2280,6600,6600,0,0,0,18,876,1242,2214,0,2268
column_blind,cb_11,1,1,121,111111111111111111121,357,1039,326,713,6234,1956,4278,4302,24,12,-2,18,822,1404,2052,0,0
column_blind,cb_12,1,2,121,111111111222222222121,195,1435,470,965,8610,2820,5790,5790,0,0,0,18,876,864,2106,0,1944
column_blind,cb_20,2,0,121,222222222000000000121,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
column_blind,cb_21,2,1,121,222222222111111111121,195,1435,470,965,8610,2820,5790,5790,0,0,0,18,876,864,2106,0,1944
column_blind,cb_22,2,2,121,222222222222222222121,357,1075,290,785,6450,1740,4710,4716,6,3,-2,18,930,1620,2160,0,0
column_blind,cb_00,0,0,122,000000000000000000122,363,1076,250,826,6456,1500,4956,4986,30,9,-4,18,744,1944,2268,0,0
column_blind,cb_01,0,1,122,000000000111111111122,201,1463,394,1069,8778,2364,6414,6414,0,0,0,16,690,1296,2160,0,2268
column_blind,cb_02,0,2,122,000000000222222222122,255,1373,340,1033,8238,2040,6198,6198,0,0,0,18,852,1458,1620,0,2268
column_blind,cb_10,1,0,122,111111111000000000122,201,1463,394,1069,8778,2364,6414,6414,0,0,0,16,690,1296,2160,0,2268
column_blind,cb_11,1,1,122,111111111111111111122,363,1040,322,718,6240,1932,4308,4320,12,6,-2,18,636,1620,2052,0,0
column_blind,cb_12,1,2,122,111111111222222222122,255,1328,430,898,7968,2580,5388,5388,0,0,0,18,798,1134,1512,0,1944
column_blind,cb_20,2,0,122,222222222000000000122,255,1373,340,1033,8238,2040,6198,6198,0,0,0,18,852,1458,1620,0,2268
column_blind,cb_21,2,1,122,222222222111111111122,255,1328,430,898,7968,2580,5388,5388,0,0,0,18,798,1134,1512,0,1944
column_blind,cb_22,2,2,122,222222222222222222122,471,590,214,376,3540,1284,2256,2472,216,108,-2,18,960,1296,0,0,0
column_blind,cb_00,0,0,200,000000000000000000200,357,1039,326,713,6234,1956,4278,4302,24,12,-2,18,822,1404,2052,0,0
column_blind,cb_01,0,1,200,000000000111111111200,195,1480,380,1100,8880,2280,6600,6600,0,0,0,18,876,1242,2214,0,2268
column_blind,cb_02,0,2,200,000000000222222222200,195,1435,470,965,8610,2820,5790,5790,0,0,0,18,876,864,2106,0,1944
column_blind,cb_10,1,0,200,111111111000000000200,195,1480,380,1100,8880,2280,6600,6600,0,0,0,18,876,1242,2214,0,2268
column_blind,cb_11,1,1,200,111111111111111111200,357,1111,218,893,6666,1308,5358,5364,6,3,-2,18,930,2052,2376,0,0
column_blind,cb_12,1,2,200,111111111222222222200,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
column_blind,cb_20,2,0,200,222222222000000000200,195,1435,470,965,8610,2820,5790,5790,0,0,0,18,876,864,2106,0,1944
column_blind,cb_21,2,1,200,222222222111111111200,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
column_blind,cb_22,2,2,200,222222222222222222200,357,1075,290,785,6450,1740,4710,4716,6,3,-2,18,930,1620,2160,0,0
column_blind,cb_00,0,0,201,000000000000000000201,351,1074,252,822,6444,1512,4932,4938,6,3,-2,18,828,1836,2268,0,0
column_blind,cb_01,0,1,201,000000000111111111201,189,1479,360,1119,8874,2160,6714,6714,0,0,0,18,828,1350,2268,0,2268
column_blind,cb_02,0,2,201,000000000222222222201,189,1479,360,1119,8874,2160,6714,6714,0,0,0,18,828,1350,2268,0,2268
column_blind,cb_10,1,0,201,111111111000000000201,189,1479,360,1119,8874,2160,6714,6714,0,0,0,18,828,1350,2268,0,2268
column_blind,cb_11,1,1,201,111111111111111111201,351,1074,252,822,6444,1512,4932,4938,6,3,-2,18,828,1836,2268,0,0
column_blind,cb_12,1,2,201,111111111222222222201,189,1479,360,1119,8874,2160,6714,6714,0,0,0,18,828,1350,2268,0,2268
column_blind,cb_20,2,0,201,222222222000000000201,189,1479,360,1119,8874,2160,6714,6714,0,0,0,18,828,1350,2268,0,2268
column_blind,cb_21,2,1,201,222222222111111111201,189,1479,360,1119,8874,2160,6714,6714,0,0,0,18,828,1350,2268,0,2268
column_blind,cb_22,2,2,201,222222222222222222201,351,1074,252,822,6444,1512,4932,4938,6,3,-2,18,828,1836,2268,0,0
column_blind,cb_00,0,0,202,000000000000000000202,363,1040,322,718,6240,1932,4308,4320,12,6,-2,18,636,1620,2052,0,0
column_blind,cb_01,0,1,202,000000000111111111202,201,1463,394,1069,8778,2364,6414,6414,0,0,0,16,690,1296,2160,0,2268
column_blind,cb_02,0,2,202,000000000222222222202,255,1328,430,898,7968,2580,5388,5388,0,0,0,18,798,1134,1512,0,1944
column_blind,cb_10,1,0,202,111111111000000000202,201,1463,394,1069,8778,2364,6414,6414,0,0,0,16,690,1296,2160,0,2268
column_blind,cb_11,1,1,202,111111111111111111202,363,1076,250,826,6456,1500,4956,4986,30,9,-4,18,744,1944,2268,0,0
column_blind,cb_12,1,2,202,111111111222222222202,255,1373,340,1033,8238,2040,6198,6198,0,0,0,18,852,1458,1620,0,2268
column_blind,cb_20,2,0,202,222222222000000000202,255,1328,430,898,7968,2580,5388,5388,0,0,0,18,798,1134,1512,0,1944
column_blind,cb_21,2,1,202,222222222111111111202,255,1373,340,1033,8238,2040,6198,6198,0,0,0,18,852,1458,1620,0,2268
column_blind,cb_22,2,2,202,222222222222222222202,471,590,214,376,3540,1284,2256,2472,216,108,-2,18,960,1296,0,0,0
column_blind,cb_00,0,0,210,000000000000000000210,351,1054,334,720,6324,2004,4320,4344,24,9,-4,18,756,1512,2052,0,0
column_blind,cb_01,0,1,210,000000000111111111210,243,1387,370,1017,8322,2220,6102,6102,0,0,0,18,864,1350,1620,0,2268
column_blind,cb_02,0,2,210,000000000222222222210,189,1432,496,936,8592,2976,5616,5616,0,0,0,18,756,864,2052,0,1944
column_blind,cb_10,1,0,210,111111111000000000210,243,1387,370,1017,8322,2220,6102,6102,0,0,0,18,864,1350,1620,0,2268
column_blind,cb_11,1,1,210,111111111111111111210,459,640,190,450,3840,1140,2700,2700,0,0,0,18,972,1512,216,0,0
column_blind,cb_12,1,2,210,111111111222222222210,243,1387,370,1017,8322,2220,6102,6102,0,0,0,18,864,1350,1620,0,2268
column_blind,cb_20,2,0,210,222222222000000000210,189,1432,496,936,8592,2976,5616,5616,0,0,0,18,756,864,2052,0,1944
column_blind,cb_21,2,1,210,222222222111111111210,243,1387,370,1017,8322,2220,6102,6102,0,0,0,18,864,1350,1620,0,2268
column_blind,cb_22,2,2,210,222222222222222222210,351,1054,334,720,6324,2004,4320,4344,24,9,-4,18,756,1512,2052,0,0
column_blind,cb_00,0,0,211,000000000000000000211,363,1076,250,826,6456,1500,4956,4986,30,9,-4,18,744,1944,2268,0,0
column_blind,cb_01,0,1,211,000000000111111111211,255,1373,340,1033,8238,2040,6198,6198,0,0,0,18,852,1458,1620,0,2268
column_blind,cb_02,0,2,211,000000000222222222211,201,1463,394,1069,8778,2364,6414,6414,0,0,0,16,690,1296,2160,0,2268
column_blind,cb_10,1,0,211,111111111000000000211,255,1373,340,1033,8238,2040,6198,6198,0,0,0,18,852,1458,1620,0,2268
column_blind,cb_11,1,1,211,111111111111111111211,471,590,214,376,3540,1284,2256,2472,216,108,-2,18,960,1296,0,0,0
column_blind,cb_12,1,2,211,111111111222222222211,255,1328,430,898,7968,2580,5388,5388,0,0,0,18,798,1134,1512,0,1944
column_blind,cb_20,2,0,211,222222222000000000211,201,1463,394,1069,8778,2364,6414,6414,0,0,0,16,690,1296,2160,0,2268
column_blind,cb_21,2,1,211,222222222111111111211,255,1328,430,898,7968,2580,5388,5388,0,0,0,18,798,1134,1512,0,1944
column_blind,cb_22,2,2,211,222222222222222222211,363,1040,322,718,6240,1932,4308,4320,12,6,-2,18,636,1620,2052,0,0
column_blind,cb_00,0,0,212,000000000000000000212,363,1053,324,729,6318,1944,4374,4398,24,6,-4,18,594,1728,2052,0,0
column_blind,cb_01,0,1,212,000000000111111111212,255,1368,378,990,8208,2268,5940,5940,0,0,0,18,702,1404,1566,0,2268
column_blind,cb_02,0,2,212,000000000222222222212,255,1323,450,873,7938,2700,5238,5238,0,0,0,18,702,1134,1458,0,1944
column_blind,cb_10,1,0,212,111111111000000000212,255,1368,378,990,8208,2268,5940,5940,0,0,0,18,702,1404,1566,0,2268
column_blind,cb_11,1,1,212,111111111111111111212,471,603,216,387,3618,1296,2322,2430,108,54,-2,18,810,1404,108,0,0
column_blind,cb_12,1,2,212,111111111222222222212,309,1233,396,837,7398,2376,5022,5022,0,0,0,18,810,1296,972,0,1944
column_blind,cb_20,2,0,212,222222222000000000212,255,1323,450,873,7938,2700,5238,5238,0,0,0,18,702,1134,1458,0,1944
column_blind,cb_21,2,1,212,222222222111111111212,309,1233,396,837,7398,2376,5022,5022,0,0,0,18,810,1296,972,0,1944
column_blind,cb_22,2,2,212,222222222222222222212,471,567,252,315,3402,1512,1890,2214,324,108,-4,18,810,1188,-108,0,0
column_blind,cb_00,0,0,220,000000000000000000220,357,1075,290,785,6450,1740,4710,4716,6,3,-2,18,930,1620,2160,0,0
column_blind,cb_01,0,1,220,000000000111111111220,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
column_blind,cb_02,0,2,220,000000000222222222220,195,1435,470,965,8610,2820,5790,5790,0,0,0,18,876,864,2106,0,1944
column_blind,cb_10,1,0,220,111111111000000000220,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
column_blind,cb_11,1,1,220,111111111111111111220,357,1111,218,893,6666,1308,5358,5364,6,3,-2,18,930,2052,2376,0,0
column_blind,cb_12,1,2,220,111111111222222222220,195,1480,380,1100,8880,2280,6600,6600,0,0,0,18,876,1242,2214,0,2268
column_blind,cb_20,2,0,220,222222222000000000220,195,1435,470,965,8610,2820,5790,5790,0,0,0,18,876,864,2106,0,1944
column_blind,cb_21,2,1,220,222222222111111111220,195,1480,380,1100,8880,2280,6600,6600,0,0,0,18,876,1242,2214,0,2268
column_blind,cb_22,2,2,220,222222222222222222220,357,1039,326,713,6234,1956,4278,4302,24,12,-2,18,822,1404,2052,0,0
column_blind,cb_00,0,0,221,000000000000000000221,357,1111,218,893,6666,1308,5358,5364,6,3,-2,18,930,2052,2376,0,0
column_blind,cb_01,0,1,221,000000000111111111221,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
column_blind,cb_02,0,2,221,000000000222222222221,195,1480,380,1100,8880,2280,6600,6600,0,0,0,18,876,1242,2214,0,2268
column_blind,cb_10,1,0,221,111111111000000000221,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
column_blind,cb_11,1,1,221,111111111111111111221,357,1075,290,785,6450,1740,4710,4716,6,3,-2,18,930,1620,2160,0,0
column_blind,cb_12,1,2,221,111111111222222222221,195,1435,470,965,8610,2820,5790,5790,0,0,0,18,876,864,2106,0,1944
column_blind,cb_20,2,0,221,222222222000000000221,195,1480,380,1100,8880,2280,6600,6600,0,0,0,18,876,1242,2214,0,2268
column_blind,cb_21,2,1,221,222222222111111111221,195,1435,470,965,8610,2820,5790,5790,0,0,0,18,876,864,2106,0,1944
column_blind,cb_22,2,2,221,222222222222222222221,357,1039,326,713,6234,1956,4278,4302,24,12,-2,18,822,1404,2052,0,0
column_blind,cb_00,0,0,222,000000000000000000222,381,1052,260,792,6312,1560,4752,4752,0,0,0,16,756,1836,2160,0,0
column_blind,cb_01,0,1,222,000000000111111111222,219,1484,314,1170,8904,1884,7020,7020,0,0,0,16,756,1512,2160,0,2592
column_blind,cb_02,0,2,222,000000000222222222222,273,1304,404,900,7824,2424,5400,5400,0,0,0,16,864,1134,1458,0,1944
column_blind,cb_10,1,0,222,111111111000000000222,219,1484,314,1170,8904,1884,7020,7020,0,0,0,16,756,1512,2160,0,2592
column_blind,cb_11,1,1,222,111111111111111111222,381,1052,260,792,6312,1560,4752,4752,0,0,0,16,756,1836,2160,0,0
column_blind,cb_12,1,2,222,111111111222222222222,273,1304,404,900,7824,2424,5400,5400,0,0,0,16,864,1134,1458,0,1944
column_blind,cb_20,2,0,222,222222222000000000222,273,1304,404,900,7824,2424,5400,5400,0,0,0,16,864,1134,1458,0,1944
column_blind,cb_21,2,1,222,222222222111111111222,273,1304,404,900,7824,2424,5400,5400,0,0,0,16,864,1134,1458,0,1944
column_blind,cb_22,2,2,222,222222222222222222222,489,530,224,306,3180,1344,1836,2268,432,108,-4,16,972,1080,-216,0,0
