raw,assoc,count,probability
21,63,24,2.294377592633953079e-09
22,66,36,3.441566388950929412e-09
23,69,96,9.177510370535812318e-09
24,72,48,4.588755185267906159e-09
25,75,126,1.204548236132825377e-08
26,78,288,2.753253111160743530e-08
27,81,450,4.301957986188662179e-08
28,84,480,4.588755185267906324e-08
29,87,1386,1.325003059746107964e-07
30,90,1476,1.411042219469881009e-07
31,93,2706,2.586910735694782204e-07
32,96,3372,3.223600517650703955e-07
33,99,5262,5.030422871849941871e-07
34,102,8388,8.018849686255665481e-07
35,105,11634,1.112199538029308754e-06
36,108,17976,1.718488816882830913e-06
37,111,25338,2.422289143423296015e-06
38,114,36924,3.529899926267336959e-06
39,117,52386,5.008052690321761213e-06
40,120,75600,7.227289416796952090e-06
41,123,106008,1.013426582666417126e-05
42,126,146928,1.404617962210506116e-05
43,129,206928,1.978212360368994396e-05
44,132,285936,2.733521463864091805e-05
45,135,398337,3.808064529654295414e-05
46,138,549468,5.252862779455804088e-05
47,141,760026,7.265777600913386986e-05
48,144,1049004,1.002838030076411369e-04
49,147,1436610,1.373385747230776465e-04
50,150,1972308,1.885508033738619578e-04
51,153,2678160,2.560295955620228324e-04
52,156,3620664,3.461320980023507811e-04
53,159,4893906,4.678528444523691343e-04
54,162,6548556,6.260358396045262496e-04
55,165,8739069,8.354468372534169839e-04
56,168,11584188,1.107437557335797049e-03
57,171,15329643,1.465499558428247102e-03
58,174,20041128,1.915913125596204651e-03
59,177,26054448,2.490780903318604543e-03
60,180,33624936,3.214512488006280883e-03
61,183,43030839,4.113708033076634088e-03
62,186,54443208,5.204719854429565307e-03
63,189,68263794,6.525954972574170114e-03
64,192,84515664,8.079618571174168942e-03
65,195,103638168,9.907712100034715696e-03
66,198,125592696,1.200654447920366207e-02
67,201,150156153,1.435478803497148084e-02
68,204,177129780,1.693344159250757125e-02
69,207,206386101,1.973031856522866265e-02
70,210,236852028,2.264283274221290040e-02
71,213,268059990,2.562628477240339736e-02
72,216,298806528,2.856562509899791130e-02
73,219,328316196,3.138672180838404657e-02
74,222,355203096,3.395708434569195272e-02
75,225,378844818,3.621721089602866761e-02
76,228,398330424,3.808001663708257545e-02
77,231,412869822,3.946996951131536563e-02
78,234,422200248,4.036194952565408389e-02
79,237,426317976,4.075560047797747304e-02
80,240,424861236,4.061633749404857524e-02
81,243,418884660,4.004498240842049861e-02
82,246,408267852,3.903002547589979471e-02
83,249,393974556,3.766359972309626936e-02
84,252,376365396,3.598018046771685186e-02
85,255,356471142,3.407830835939316960e-02
86,258,334836984,3.201010305311389331e-02
87,261,312350886,2.986045307824009704e-02
88,264,289097340,2.763743579108664250e-02
89,267,266155647,2.544423135957467677e-02
90,270,243401184,2.326892594125724509e-02
91,273,221406327,2.116623814734107378e-02
92,276,200583132,1.917556014671410042e-02
93,279,180854604,1.728953128926195501e-02
94,282,162382656,1.552363030661613880e-02
95,285,145425681,1.390255932833055035e-02
96,288,129572592,1.238701882101255793e-02
97,291,115236783,1.101652886510088442e-02
98,294,102106920,9.761326220869484885e-03
99,297,90289886,8.631628803328085173e-03
100,300,79564440,7.606286179436191897e-03
101,303,70045857,6.696318531568421807e-03
102,306,61418148,5.871517606344826487e-03
103,309,53814315,5.144598270789384198e-03
104,312,46975560,4.490819677726325641e-03
105,315,41001972,3.919750242108531631e-03
106,318,35652888,3.408382805828664812e-03
107,321,30986835,2.962312495443563277e-03
108,324,26867452,2.568503326665345140e-03
109,327,23314956,2.228888025818605984e-03
110,330,20089764,1.920562681787677320e-03
111,333,17313030,1.655109503858308686e-03
112,336,14905020,1.424905996073371752e-03
113,339,12832854,1.226808861130958229e-03
114,342,10963272,1.048078567447967551e-03
115,345,9423501,9.008778974401520463e-04
116,348,8031888,7.678409939060639984e-04
117,351,6880749,6.577931802557699954e-04
118,354,5857164,5.599394099159273400e-04
119,357,5007942,4.787545795837693419e-04
120,360,4245852,4.058994871016689343e-04
121,363,3639651,3.479472374753233492e-04
122,366,3084528,2.948779969605008918e-04
123,369,2639835,2.523657613437854880e-04
124,372,2237136,2.138681129197813062e-04
125,375,1910016,1.825957463321805144e-04
126,378,1601784,1.531290549099826519e-04
127,381,1363473,1.303467458067247430e-04
128,384,1147356,1.096861623822550826e-04
129,387,971835,9.290651865572574313e-05
130,390,807288,7.717597908342828340e-05
131,393,677721,6.478949485239479851e-05
132,396,566616,5.416796058449499480e-05
133,399,473250,4.524225815475076183e-05
134,402,398100,3.805798831781569396e-05
135,405,334035,3.193343413147844078e-05
136,408,272040,2.600677001250585637e-05
137,411,232596,2.223596043901195456e-05
138,414,190764,1.823686029505097646e-05
139,417,158112,1.511535958027248252e-05
140,420,128508,1.228524481975850083e-05
141,423,108372,1.036026201953861482e-05
142,426,84948,8.120949489127877294e-06
143,429,72480,6.929020329754538232e-06
144,432,58632,5.605164458804747115e-06
145,435,48387,4.625752023949128329e-06
146,438,37236,3.559726834971578260e-06
147,441,32109,3.069590421745149804e-06
148,444,23580,2.254225984762858810e-06
149,447,20133,1.924696003020807340e-06
150,450,14640,1.399570331506711376e-06
151,453,13089,1.251296179582742148e-06
152,456,9924,9.487251345541395717e-07
153,459,9141,8.738710655944569087e-07
154,462,6936,6.630751242712124586e-07
155,465,6528,6.240707051964352178e-07
156,468,4596,4.393733089894020120e-07
157,471,4425,4.230258686418851043e-07
158,474,3252,3.108881638019006561e-07
159,477,2832,2.707365559308064625e-07
160,480,2004,1.915805289849350811e-07
161,483,1680,1.606064314843767214e-07
162,486,1284,1.227492012059164862e-07
163,489,945,9.034111770996189583e-08
164,492,900,8.603915972377324358e-08
165,495,852,8.145040453850533990e-08
166,498,588,5.621225101953184983e-08
167,501,426,4.072520226925266995e-08
168,504,144,1.376626555580371765e-08
169,507,270,2.581174791713197307e-08
170,510,156,1.491345435212069357e-08
171,513,305,2.915771523972315256e-08
172,516,132,1.261907675948674173e-08
173,519,210,2.007580393554709017e-08
174,522,84,8.030321574218836398e-09
175,525,210,2.007580393554709017e-08
176,528,36,3.441566388950929412e-09
177,531,111,1.061149636593203304e-08
178,534,36,3.441566388950929412e-09
179,537,51,4.875552384347150139e-09
180,540,12,1.147188796316976540e-09
181,543,36,3.441566388950929412e-09
183,549,84,8.030321574218836398e-09
185,555,18,1.720783194475464706e-09
187,561,21,2.007580393554709100e-09
189,567,7,6.691934645182363321e-10
193,579,12,1.147188796316976540e-09
199,597,6,5.735943981584882699e-10
