a,b,label,d,x21,Assoc,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,pure,above_PAB_7020,ge_PAB_7020,is_PAB,is_row_complement_d000,pure_H_frontier
0,0,g5=r1,000,000000000000000000000,489,3180,1344,1836,2268,432,108,-4,16,False,False,False,False,False,False
0,0,g5=r1,001,000000000000000000001,471,3540,1284,2256,2472,216,108,-2,18,False,False,False,False,False,False
0,0,g5=r1,002,000000000000000000002,471,3402,1512,1890,2214,324,108,-4,18,False,False,False,False,False,False
0,0,g5=r1,010,000000000000000000010,471,3402,1512,1890,2214,324,108,-4,18,False,False,False,False,False,False
0,0,g5=r1,011,000000000000000000011,471,3618,1296,2322,2430,108,54,-2,18,False,False,False,False,False,False
0,0,g5=r1,012,000000000000000000012,459,3564,1620,1944,2160,216,108,-2,18,False,False,False,False,False,False
0,0,g5=r1,020,000000000000000000020,471,3540,1284,2256,2472,216,108,-2,18,False,False,False,False,False,False
0,0,g5=r1,021,000000000000000000021,459,3840,1140,2700,2700,0,0,0,18,True,False,False,False,False,False
0,0,g5=r1,022,000000000000000000022,471,3618,1296,2322,2430,108,54,-2,18,False,False,False,False,False,False
0,0,g5=r1,100,000000000000000000100,357,6234,1956,4278,4302,24,12,-2,18,False,False,False,False,False,False
0,0,g5=r1,101,000000000000000000101,357,6450,1740,4710,4716,6,3,-2,18,False,False,False,False,False,False
0,0,g5=r1,102,000000000000000000102,351,6324,2004,4320,4344,24,9,-4,18,False,False,False,False,False,False
0,0,g5=r1,110,000000000000000000110,363,6240,1932,4308,4320,12,6,-2,18,False,False,False,False,False,False
0,0,g5=r1,111,000000000000000000111,381,6312,1560,4752,4752,0,0,0,16,True,False,False,False,False,False
0,0,g5=r1,112,000000000000000000112,363,6318,1944,4374,4398,24,6,-4,18,False,False,False,False,False,False
0,0,g5=r1,120,000000000000000000120,351,6444,1512,4932,4938,6,3,-2,18,False,False,False,False,False,False
0,0,g5=r1,121,000000000000000000121,357,6666,1308,5358,5364,6,3,-2,18,False,False,False,False,False,False
0,0,g5=r1,122,000000000000000000122,363,6456,1500,4956,4986,30,9,-4,18,False,False,False,False,False,False
0,0,g5=r1,200,000000000000000000200,357,6234,1956,4278,4302,24,12,-2,18,False,False,False,False,False,False
0,0,g5=r1,201,000000000000000000201,351,6444,1512,4932,4938,6,3,-2,18,False,False,False,False,False,False
0,0,g5=r1,202,000000000000000000202,363,6240,1932,4308,4320,12,6,-2,18,False,False,False,False,False,False
0,0,g5=r1,210,000000000000000000210,351,6324,2004,4320,4344,24,9,-4,18,False,False,False,False,False,False
0,0,g5=r1,211,000000000000000000211,363,6456,1500,4956,4986,30,9,-4,18,False,False,False,False,False,False
0,0,g5=r1,212,000000000000000000212,363,6318,1944,4374,4398,24,6,-4,18,False,False,False,False,False,False
0,0,g5=r1,220,000000000000000000220,357,6450,1740,4710,4716,6,3,-2,18,False,False,False,False,False,False
0,0,g5=r1,221,000000000000000000221,357,6666,1308,5358,5364,6,3,-2,18,False,False,False,False,False,False
0,0,g5=r1,222,000000000000000000222,381,6312,1560,4752,4752,0,0,0,16,True,False,False,False,False,False
0,1,,000,000000000111111111000,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
0,1,,001,000000000111111111001,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
0,1,,002,000000000111111111002,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
0,1,,010,000000000111111111010,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
0,1,,011,000000000111111111011,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
0,1,,012,000000000111111111012,297,7452,2592,4860,4860,0,0,0,18,True,False,False,False,False,False
0,1,,020,000000000111111111020,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
0,1,,021,000000000111111111021,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
0,1,,022,000000000111111111022,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
0,1,,100,000000000111111111100,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
0,1,,101,000000000111111111101,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
0,1,,102,000000000111111111102,189,8592,2976,5616,5616,0,0,0,18,True,False,False,False,False,False
0,1,,110,000000000111111111110,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
0,1,,111,000000000111111111111,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
0,1,,112,000000000111111111112,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
0,1,,120,000000000111111111120,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
0,1,,121,000000000111111111121,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
0,1,,122,000000000111111111122,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
0,1,,200,000000000111111111200,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
0,1,,201,000000000111111111201,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
0,1,,202,000000000111111111202,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
0,1,,210,000000000111111111210,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
0,1,,211,000000000111111111211,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
0,1,,212,000000000111111111212,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
0,1,,220,000000000111111111220,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
0,1,,221,000000000111111111221,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
0,1,,222,000000000111111111222,219,8904,1884,7020,7020,0,0,0,16,True,False,True,False,False,True
0,2,,000,000000000222222222000,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
0,2,,001,000000000222222222001,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
0,2,,002,000000000222222222002,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
0,2,,010,000000000222222222010,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
0,2,,011,000000000222222222011,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
0,2,,012,000000000222222222012,297,7452,2592,4860,4860,0,0,0,18,True,False,False,False,False,False
0,2,,020,000000000222222222020,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
0,2,,021,000000000222222222021,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
0,2,,022,000000000222222222022,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
0,2,,100,000000000222222222100,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
0,2,,101,000000000222222222101,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
0,2,,102,000000000222222222102,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
0,2,,110,000000000222222222110,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
0,2,,111,000000000222222222111,219,8904,1884,7020,7020,0,0,0,16,True,False,True,False,False,True
0,2,,112,000000000222222222112,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
0,2,,120,000000000222222222120,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
0,2,,121,000000000222222222121,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
0,2,,122,000000000222222222122,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
0,2,,200,000000000222222222200,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
0,2,,201,000000000222222222201,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
0,2,,202,000000000222222222202,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
0,2,,210,000000000222222222210,189,8592,2976,5616,5616,0,0,0,18,True,False,False,False,False,False
0,2,,211,000000000222222222211,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
0,2,,212,000000000222222222212,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
0,2,,220,000000000222222222220,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
0,2,,221,000000000222222222221,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
0,2,,222,000000000222222222222,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
1,0,,000,111111111000000000000,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
1,0,,001,111111111000000000001,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
1,0,,002,111111111000000000002,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
1,0,,010,111111111000000000010,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
1,0,,011,111111111000000000011,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
1,0,,012,111111111000000000012,297,7452,2592,4860,4860,0,0,0,18,True,False,False,False,False,False
1,0,,020,111111111000000000020,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
1,0,,021,111111111000000000021,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
1,0,,022,111111111000000000022,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
1,0,,100,111111111000000000100,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
1,0,,101,111111111000000000101,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
1,0,,102,111111111000000000102,189,8592,2976,5616,5616,0,0,0,18,True,False,False,False,False,False
1,0,,110,111111111000000000110,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
1,0,,111,111111111000000000111,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
1,0,,112,111111111000000000112,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
1,0,,120,111111111000000000120,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
1,0,,121,111111111000000000121,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
1,0,,122,111111111000000000122,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
1,0,,200,111111111000000000200,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
1,0,,201,111111111000000000201,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
1,0,,202,111111111000000000202,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
1,0,,210,111111111000000000210,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
1,0,,211,111111111000000000211,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
1,0,,212,111111111000000000212,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
1,0,,220,111111111000000000220,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
1,0,,221,111111111000000000221,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
1,0,,222,111111111000000000222,219,8904,1884,7020,7020,0,0,0,16,True,False,True,False,False,True
1,1,,000,111111111111111111000,381,6312,1560,4752,4752,0,0,0,16,True,False,False,False,False,False
1,1,,001,111111111111111111001,363,6240,1932,4308,4320,12,6,-2,18,False,False,False,False,False,False
1,1,,002,111111111111111111002,363,6318,1944,4374,4398,24,6,-4,18,False,False,False,False,False,False
1,1,,010,111111111111111111010,471,3618,1296,2322,2430,108,54,-2,18,False,False,False,False,False,False
1,1,,011,111111111111111111011,471,3402,1512,1890,2214,324,108,-4,18,False,False,False,False,False,False
1,1,,012,111111111111111111012,459,3564,1620,1944,2160,216,108,-2,18,False,False,False,False,False,False
1,1,,020,111111111111111111020,363,6456,1500,4956,4986,30,9,-4,18,False,False,False,False,False,False
1,1,,021,111111111111111111021,351,6324,2004,4320,4344,24,9,-4,18,False,False,False,False,False,False
1,1,,022,111111111111111111022,363,6318,1944,4374,4398,24,6,-4,18,False,False,False,False,False,False
1,1,,100,111111111111111111100,357,6450,1740,4710,4716,6,3,-2,18,False,False,False,False,False,False
1,1,,101,111111111111111111101,357,6234,1956,4278,4302,24,12,-2,18,False,False,False,False,False,False
1,1,,102,111111111111111111102,351,6324,2004,4320,4344,24,9,-4,18,False,False,False,False,False,False
1,1,,110,111111111111111111110,471,3540,1284,2256,2472,216,108,-2,18,False,False,False,False,False,False
1,1,,111,111111111111111111111,489,3180,1344,1836,2268,432,108,-4,16,False,False,False,False,False,False
1,1,,112,111111111111111111112,471,3402,1512,1890,2214,324,108,-4,18,False,False,False,False,False,False
1,1,,120,111111111111111111120,351,6444,1512,4932,4938,6,3,-2,18,False,False,False,False,False,False
1,1,,121,111111111111111111121,357,6234,1956,4278,4302,24,12,-2,18,False,False,False,False,False,False
1,1,,122,111111111111111111122,363,6240,1932,4308,4320,12,6,-2,18,False,False,False,False,False,False
1,1,,200,111111111111111111200,357,6666,1308,5358,5364,6,3,-2,18,False,False,False,False,False,False
1,1,,201,111111111111111111201,351,6444,1512,4932,4938,6,3,-2,18,False,False,False,False,False,False
1,1,,202,111111111111111111202,363,6456,1500,4956,4986,30,9,-4,18,False,False,False,False,False,False
1,1,,210,111111111111111111210,459,3840,1140,2700,2700,0,0,0,18,True,False,False,False,False,False
1,1,,211,111111111111111111211,471,3540,1284,2256,2472,216,108,-2,18,False,False,False,False,False,False
1,1,,212,111111111111111111212,471,3618,1296,2322,2430,108,54,-2,18,False,False,False,False,False,False
1,1,,220,111111111111111111220,357,6666,1308,5358,5364,6,3,-2,18,False,False,False,False,False,False
1,1,,221,111111111111111111221,357,6450,1740,4710,4716,6,3,-2,18,False,False,False,False,False,False
1,1,,222,111111111111111111222,381,6312,1560,4752,4752,0,0,0,16,True,False,False,False,False,False
1,2,g1=r2 / PAB,000,111111111222222222000,219,8904,1884,7020,7020,0,0,0,16,True,False,True,True,False,True
1,2,g1=r2 / PAB,001,111111111222222222001,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
1,2,g1=r2 / PAB,002,111111111222222222002,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,010,111111111222222222010,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,011,111111111222222222011,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,012,111111111222222222012,297,7452,2592,4860,4860,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,020,111111111222222222020,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
1,2,g1=r2 / PAB,021,111111111222222222021,189,8592,2976,5616,5616,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,022,111111111222222222022,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,100,111111111222222222100,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
1,2,g1=r2 / PAB,101,111111111222222222101,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,102,111111111222222222102,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,110,111111111222222222110,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,111,111111111222222222111,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
1,2,g1=r2 / PAB,112,111111111222222222112,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,120,111111111222222222120,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,121,111111111222222222121,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,122,111111111222222222122,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,200,111111111222222222200,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
1,2,g1=r2 / PAB,201,111111111222222222201,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,202,111111111222222222202,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,210,111111111222222222210,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,211,111111111222222222211,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,212,111111111222222222212,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,220,111111111222222222220,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,221,111111111222222222221,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
1,2,g1=r2 / PAB,222,111111111222222222222,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
2,0,,000,222222222000000000000,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
2,0,,001,222222222000000000001,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
2,0,,002,222222222000000000002,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
2,0,,010,222222222000000000010,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
2,0,,011,222222222000000000011,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
2,0,,012,222222222000000000012,297,7452,2592,4860,4860,0,0,0,18,True,False,False,False,False,False
2,0,,020,222222222000000000020,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
2,0,,021,222222222000000000021,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
2,0,,022,222222222000000000022,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
2,0,,100,222222222000000000100,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
2,0,,101,222222222000000000101,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
2,0,,102,222222222000000000102,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
2,0,,110,222222222000000000110,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
2,0,,111,222222222000000000111,219,8904,1884,7020,7020,0,0,0,16,True,False,True,False,False,True
2,0,,112,222222222000000000112,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
2,0,,120,222222222000000000120,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
2,0,,121,222222222000000000121,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
2,0,,122,222222222000000000122,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
2,0,,200,222222222000000000200,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
2,0,,201,222222222000000000201,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
2,0,,202,222222222000000000202,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
2,0,,210,222222222000000000210,189,8592,2976,5616,5616,0,0,0,18,True,False,False,False,False,False
2,0,,211,222222222000000000211,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
2,0,,212,222222222000000000212,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
2,0,,220,222222222000000000220,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
2,0,,221,222222222000000000221,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
2,0,,222,222222222000000000222,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
2,1,row-complement,000,222222222111111111000,219,8904,1884,7020,7020,0,0,0,16,True,False,True,False,True,True
2,1,row-complement,001,222222222111111111001,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
2,1,row-complement,002,222222222111111111002,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,010,222222222111111111010,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,011,222222222111111111011,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,012,222222222111111111012,297,7452,2592,4860,4860,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,020,222222222111111111020,201,8778,2364,6414,6414,0,0,0,16,True,False,False,False,False,False
2,1,row-complement,021,222222222111111111021,189,8592,2976,5616,5616,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,022,222222222111111111022,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,100,222222222111111111100,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
2,1,row-complement,101,222222222111111111101,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,102,222222222111111111102,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,110,222222222111111111110,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,111,222222222111111111111,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
2,1,row-complement,112,222222222111111111112,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,120,222222222111111111120,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,121,222222222111111111121,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,122,222222222111111111122,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,200,222222222111111111200,195,9150,1848,7302,7308,6,3,-2,18,False,True,True,False,False,False
2,1,row-complement,201,222222222111111111201,189,8874,2160,6714,6714,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,202,222222222111111111202,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,210,222222222111111111210,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,211,222222222111111111211,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,212,222222222111111111212,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,220,222222222111111111220,195,8880,2280,6600,6600,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,221,222222222111111111221,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
2,1,row-complement,222,222222222111111111222,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
2,2,,000,222222222222222222000,381,6312,1560,4752,4752,0,0,0,16,True,False,False,False,False,False
2,2,,001,222222222222222222001,363,6456,1500,4956,4986,30,9,-4,18,False,False,False,False,False,False
2,2,,002,222222222222222222002,471,3618,1296,2322,2430,108,54,-2,18,False,False,False,False,False,False
2,2,,010,222222222222222222010,363,6318,1944,4374,4398,24,6,-4,18,False,False,False,False,False,False
2,2,,011,222222222222222222011,363,6318,1944,4374,4398,24,6,-4,18,False,False,False,False,False,False
2,2,,012,222222222222222222012,459,3564,1620,1944,2160,216,108,-2,18,False,False,False,False,False,False
2,2,,020,222222222222222222020,363,6240,1932,4308,4320,12,6,-2,18,False,False,False,False,False,False
2,2,,021,222222222222222222021,351,6324,2004,4320,4344,24,9,-4,18,False,False,False,False,False,False
2,2,,022,222222222222222222022,471,3402,1512,1890,2214,324,108,-4,18,False,False,False,False,False,False
2,2,,100,222222222222222222100,357,6666,1308,5358,5364,6,3,-2,18,False,False,False,False,False,False
2,2,,101,222222222222222222101,357,6666,1308,5358,5364,6,3,-2,18,False,False,False,False,False,False
2,2,,102,222222222222222222102,459,3840,1140,2700,2700,0,0,0,18,True,False,False,False,False,False
2,2,,110,222222222222222222110,363,6456,1500,4956,4986,30,9,-4,18,False,False,False,False,False,False
2,2,,111,222222222222222222111,381,6312,1560,4752,4752,0,0,0,16,True,False,False,False,False,False
2,2,,112,222222222222222222112,471,3618,1296,2322,2430,108,54,-2,18,False,False,False,False,False,False
2,2,,120,222222222222222222120,351,6444,1512,4932,4938,6,3,-2,18,False,False,False,False,False,False
2,2,,121,222222222222222222121,357,6450,1740,4710,4716,6,3,-2,18,False,False,False,False,False,False
2,2,,122,222222222222222222122,471,3540,1284,2256,2472,216,108,-2,18,False,False,False,False,False,False
2,2,,200,222222222222222222200,357,6450,1740,4710,4716,6,3,-2,18,False,False,False,False,False,False
2,2,,201,222222222222222222201,351,6444,1512,4932,4938,6,3,-2,18,False,False,False,False,False,False
2,2,,202,222222222222222222202,471,3540,1284,2256,2472,216,108,-2,18,False,False,False,False,False,False
2,2,,210,222222222222222222210,351,6324,2004,4320,4344,24,9,-4,18,False,False,False,False,False,False
2,2,,211,222222222222222222211,363,6240,1932,4308,4320,12,6,-2,18,False,False,False,False,False,False
2,2,,212,222222222222222222212,471,3402,1512,1890,2214,324,108,-4,18,False,False,False,False,False,False
2,2,,220,222222222222222222220,357,6234,1956,4278,4302,24,12,-2,18,False,False,False,False,False,False
2,2,,221,222222222222222222221,357,6234,1956,4278,4302,24,12,-2,18,False,False,False,False,False,False
2,2,,222,222222222222222222222,489,3180,1344,1836,2268,432,108,-4,16,False,False,False,False,False,False
